Order_ID,Order_Date,Customer_ID,Customer_Type,Product,Category,Region,Salesperson,Units,Unit_Price,Discount,Returned,Payment_Method,Customer_Rating
1001,2026-01-03,C001,New,Laptop,Electronics,North,Alice,2,850,0.05,No,Credit Card,5.0
1002,,C002,Returning,Mouse,Electronics,South,Bob,10,25,0.0,No,Cash,4.0
1003,,C003,New,Office Chair,Furniture,East,Charlie,3,180,0.1,No,Credit Card,5.0
1004,,C004,Returning,Keyboard,Electronics,West,Diana,5,60,0.05,No,Debit Card,4.0
1005,2026-01-12,C005,New,Desk,Furniture,North,Alice,2,300,0.15,No,Credit Card,3.0
1006,,C006,Returning,Monitor,Electronics,South,Bob,4,250,0.1,Yes,Credit Card,2.0
1007,2026-01-18,C007,New,Notebook,Stationery,East,Charlie,20,5,0.0,No,Cash,5.0
1008,2026-01-20,C008,Returning,Printer,Electronics,West,Diana,2,220,0.05,No,Debit Card,4.0
1009,2026-01-22,C009,Returning,Desk,Furniture,North,Alice,1,300,0.0,No,Credit Card,5.0
1010,2026-01-25,C010,New,Pen,Stationery,South,Bob,50,2,0.05,No,Cash,4.0
1011,2026-02-01,C011,Returning,Laptop,Electronics,East,Charlie,1,850,0.1,No,Credit Card,5.0
1012,2026-02-03,C012,New,Mouse,Electronics,West,Diana,15,25,0.0,No,Debit Card,4.0
1013,2026-02-05,C013,Returning,Office Chair,Furniture,North,Alice,4,180,0.05,No,Credit Card,5.0
1014,2026-02-08,C014,New,Keyboard,Electronics,South,Bob,8,60,0.1,No,Cash,3.0
1015,2026-02-10,C015,Returning,Desk,Furniture,East,Charlie,3,300,0.15,Yes,Credit Card,2.0
1016,2026-02-13,C016,New,Monitor,Electronics,West,Diana,5,250,0.05,No,Debit Card,5.0
1017,2026-02-15,C017,Returning,Notebook,Stationery,North,Alice,30,5,0.0,No,Cash,4.0
1018,2026-02-18,C018,New,Printer,Electronics,South,Bob,3,220,0.1,No,Credit Card,4.0
1019,2026-02-20,C019,Returning,Pen,Stationery,East,Charlie,80,2,0.05,No,Cash,5.0
1020,2026-02-23,C020,New,Laptop,Electronics,West,Diana,2,850,0.15,Yes,Credit Card,2.0
1021,2026-02-25,C021,Returning,Mouse,Electronics,North,Alice,12,25,0.05,No,Debit Card,4.0
1022,2026-02-27,C022,New,Desk,Furniture,South,Bob,2,300,0.1,No,Credit Card,5.0
1023,2026-03-01,C023,Returning,Office Chair,Furniture,East,Charlie,5,180,0.05,No,Credit Card,4.0
1024,,C024,New,Keyboard,Electronics,West,Diana,10,60,0.0,No,Cash,5.0
1025,2026-03-05,C025,Returning,Monitor,Electronics,North,Alice,3,250,0.1,No,Credit Card,4.0
1026,2026-03-08,C026,New,Printer,Electronics,South,Bob,1,220,0.05,No,Debit Card,3.0
1027,2026-03-10,C027,Returning,Notebook,Stationery,East,Charlie,25,5,0.0,No,Cash,5.0
1028,2026-03-12,C028,New,Pen,Stationery,West,Diana,100,2,0.05,No,Cash,4.0
1029,2026-03-15,C029,Returning,Laptop,Electronics,North,Alice,1,850,0.1,No,Credit Card,5.0
1030,2026-03-17,C030,New,Mouse,Electronics,South,Bob,20,25,0.0,No,Cash,4.0
1031,2026-03-20,C031,Returning,Desk,Furniture,East,Charlie,2,300,0.15,Yes,Credit Card,2.0
1032,2026-03-22,C032,New,Office Chair,Furniture,West,Diana,6,180,0.05,No,Debit Card,5.0
1033,2026-03-25,C033,Returning,Keyboard,Electronics,North,Alice,7,60,0.1,No,Credit Card,4.0
1034,2026-03-27,C034,New,Monitor,Electronics,South,Bob,4,250,0.05,No,Credit Card,5.0
1035,2026-03-29,C035,Returning,Printer,Electronics,East,Charlie,2,220,0.0,No,Debit Card,4.0
1036,2026-04-01,C036,New,Notebook,Stationery,West,Diana,40,5,0.05,No,Cash,5.0
1037,2026-04-03,C037,Returning,Pen,Stationery,North,Alice,75,2,0.0,No,Cash,4.0
1038,2026-04-05,C038,New,Laptop,Electronics,South,Bob,2,850,0.1,No,Credit Card,5.0
1039,2026-04-08,C039,Returning,Mouse,Electronics,East,Charlie,18,25,0.05,No,Debit Card,4.0
1040,2026-04-10,C040,New,Desk,Furniture,West,Diana,1,300,0.15,Yes,Credit Card,1.0
1041,2026-04-12,C041,Returning,Office Chair,Furniture,North,Alice,3,180,0.05,No,Credit Card,5.0
1042,2026-04-15,C042,New,Keyboard,Electronics,South,Bob,12,60,0.0,No,Cash,4.0
1043,2026-04-18,C043,Returning,Monitor,Electronics,East,Charlie,5,250,0.1,No,Credit Card,5.0
1044,2026-04-20,C044,New,Printer,Electronics,West,Diana,3,220,0.05,No,Debit Card,4.0
1045,2026-04-22,C045,Returning,Notebook,Stationery,North,Alice,35,5,0.0,No,Cash,5.0
1046,2026-04-25,C046,New,Pen,Stationery,South,Bob,60,2,0.05,No,Cash,4.0
